accuracy: 0.1393596986817326	precision: 0.1507469317060337	recall: 0.1393596986817326	f1: 0.08303486537714204	average_val_loss: 2.4909842925913193	average_train_loss: 2.466325095295906	
accuracy: 0.2919020715630885	precision: 0.4352107001109228	recall: 0.2919020715630885	f1: 0.23749684440284213	average_val_loss: 2.0298914313316345	average_train_loss: 2.004176126420498	
accuracy: 0.5291902071563088	precision: 0.550262573676802	recall: 0.5291902071563088	f1: 0.5027307862535159	average_val_loss: 1.4669890894609339	average_train_loss: 1.6141579389572143	
accuracy: 0.4726930320150659	precision: 0.5692684673204095	recall: 0.4726930320150659	f1: 0.4684029466352301	average_val_loss: 1.6023659495746387	average_train_loss: 1.3097712777554988	
accuracy: 0.5781544256120528	precision: 0.6402768550202627	recall: 0.5781544256120528	f1: 0.5681367353019668	average_val_loss: 1.314889083890354	average_train_loss: 1.147649123519659	
accuracy: 0.64030131826742	precision: 0.6812551417742221	recall: 0.64030131826742	f1: 0.6411613427949354	average_val_loss: 1.0906397332163418	average_train_loss: 0.9709001816809177	
accuracy: 0.6572504708097928	precision: 0.7031921985677354	recall: 0.6572504708097928	f1: 0.6557133331631531	average_val_loss: 1.1806868490050821	average_train_loss: 0.8618987649679184	
accuracy: 0.6854990583804144	precision: 0.7239946949622611	recall: 0.6854990583804144	f1: 0.6867154869709077	average_val_loss: 0.8806876259691575	average_train_loss: 0.7453386709094048	
accuracy: 0.7005649717514124	precision: 0.7439396625153315	recall: 0.7005649717514124	f1: 0.7039883626183329	average_val_loss: 1.1002579436582678	average_train_loss: 0.6502159047871828	
accuracy: 0.6591337099811676	precision: 0.715551104509187	recall: 0.6591337099811676	f1: 0.6645510289217653	average_val_loss: 1.1181168836705826	average_train_loss: 0.6220292236655951	
accuracy: 0.6911487758945386	precision: 0.744623459016208	recall: 0.6911487758945386	f1: 0.6897468337366232	average_val_loss: 0.9316380208029467	average_train_loss: 0.5243928542360663	
accuracy: 0.6497175141242938	precision: 0.7650329818321582	recall: 0.6497175141242938	f1: 0.664046972612539	average_val_loss: 1.1777877965394188	average_train_loss: 0.43489582585170866	
accuracy: 0.7796610169491526	precision: 0.7873540649455927	recall: 0.7796610169491526	f1: 0.7808515017469845	average_val_loss: 0.6640114047948051	average_train_loss: 0.29113325448706745	
accuracy: 0.783427495291902	precision: 0.7861235059220673	recall: 0.783427495291902	f1: 0.7830559174478817	average_val_loss: 0.6436681502005633	average_train_loss: 0.19058537515811622	
accuracy: 0.7871939736346516	precision: 0.7909598274513903	recall: 0.7871939736346516	f1: 0.7866331422809252	average_val_loss: 0.6544628607876161	average_train_loss: 0.1677017645444721	
